-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2018 through 12/31/2022 
Location: Latitude  19.5138   Longitude -99.1285 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 2626.86 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
CLRSKY_SFC_SW_DWN     CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
CLOUD_AMT             CERES SYN1deg Cloud Amount (%) 
ALLSKY_SFC_UVA        CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB        CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
-END HEADER-
YEAR,MO,DY,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DWN,CLOUD_AMT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB
2018,2,1,6.02,4.99,82.41,12.27,0.34
2018,2,2,6.04,5.87,27.88,13.9,0.38
2018,2,3,6.11,5.06,51.44,12.34,0.34
2018,2,4,5.75,5.28,43.22,12.31,0.34
2018,2,5,6.0,5.46,44.1,12.96,0.34
2018,2,6,5.78,5.2,74.8,12.15,0.34
2018,2,7,5.85,4.39,71.82,10.58,0.29
2018,2,8,6.15,4.71,78.59,11.82,0.33
2018,2,9,5.92,3.39,95.82,8.85,0.26
2018,2,10,6.18,4.16,89.48,10.75,0.32
2018,2,11,5.76,4.12,90.11,10.13,0.3
2018,2,12,6.24,5.37,67.55,13.04,0.38
2018,2,13,6.34,5.51,35.41,13.34,0.4
2018,2,14,6.24,5.37,44.66,13.07,0.39
2018,2,15,6.47,6.41,7.13,15.23,0.45
2018,2,16,6.55,6.52,8.69,15.23,0.42
2018,2,17,6.39,6.26,9.54,14.94,0.42
2018,2,18,6.41,6.03,28.2,14.39,0.4
2018,2,19,6.04,4.16,65.05,10.22,0.3
2018,2,20,5.78,4.66,52.16,10.63,0.3
2018,2,21,6.31,5.59,22.94,13.12,0.38
2018,2,22,6.53,5.9,29.61,14.39,0.41
2018,2,23,6.55,5.76,32.14,14.23,0.41
2018,2,24,6.2,5.37,47.34,12.96,0.37
2018,2,25,6.53,5.77,39.84,14.0,0.4
2018,2,26,6.42,5.18,58.28,12.68,0.37
2018,2,27,6.73,5.97,41.51,14.89,0.44
2018,2,28,6.57,5.81,28.56,13.86,0.4
2018,3,1,6.74,6.34,23.48,15.13,0.43
2018,3,2,6.9,6.69,19.78,15.89,0.45
2018,3,3,6.83,6.7,9.66,15.95,0.45
2018,3,4,6.93,6.87,17.93,16.35,0.48
2018,3,5,6.82,6.25,33.7,14.96,0.43
2018,3,6,6.62,5.03,46.12,12.2,0.35
2018,3,7,6.65,4.46,41.41,11.19,0.33
2018,3,8,6.93,5.76,37.37,14.1,0.41
2018,3,9,6.93,6.3,28.75,15.25,0.45
2018,3,10,7.23,6.85,15.3,16.75,0.49
2018,3,11,7.27,6.96,12.52,16.88,0.49
2018,3,12,7.03,6.19,31.71,15.12,0.46
2018,3,13,7.18,6.56,15.0,15.85,0.48
2018,3,14,7.21,6.41,26.6,15.62,0.45
2018,3,15,7.17,6.54,19.39,15.98,0.47
2018,3,16,7.25,6.63,19.59,15.82,0.48
2018,3,17,7.31,6.69,23.38,16.11,0.48
2018,3,18,7.29,5.73,67.05,13.94,0.43
2018,3,19,7.51,7.21,25.46,17.32,0.53
2018,3,20,7.17,6.68,19.98,15.62,0.47
2018,3,21,7.42,6.36,33.85,15.65,0.46
2018,3,22,7.36,6.5,22.59,16.0,0.48
2018,3,23,7.65,7.56,13.5,18.34,0.54
2018,3,24,7.77,7.76,3.65,18.76,0.55
2018,3,25,7.91,7.81,6.46,18.55,0.55
2018,3,26,7.71,7.21,14.89,17.42,0.51
2018,3,27,7.5,6.83,21.26,16.31,0.47
2018,3,28,7.63,7.49,7.59,17.81,0.52
2018,3,29,7.42,6.91,20.35,16.33,0.48
2018,3,30,7.2,5.0,56.54,12.3,0.37
2018,3,31,7.72,6.27,30.86,15.87,0.48
2018,4,1,7.82,7.5,13.52,18.45,0.55
2018,4,2,7.64,6.15,44.55,15.71,0.49
2018,4,3,7.58,6.14,42.14,15.27,0.48
2018,4,4,7.15,6.1,45.24,14.45,0.46
2018,4,5,7.46,6.08,47.26,14.97,0.47
2018,4,6,7.62,5.86,41.73,14.52,0.45
2018,4,7,7.92,6.84,30.16,16.99,0.51
2018,4,8,7.66,6.89,32.94,16.52,0.46
2018,4,9,7.77,6.06,55.41,15.09,0.45
2018,4,10,7.11,4.98,58.09,12.06,0.37
2018,4,11,7.63,5.52,71.94,14.26,0.46
2018,4,12,7.6,5.82,58.27,14.68,0.45
2018,4,13,7.9,6.45,24.07,15.95,0.48
2018,4,14,7.96,7.52,11.85,18.27,0.56
2018,4,15,7.97,7.14,29.93,17.73,0.55
2018,4,16,7.97,6.15,52.7,15.66,0.48
2018,4,17,7.99,6.11,54.88,15.52,0.48
2018,4,18,7.83,6.32,56.14,15.91,0.49
2018,4,19,7.91,7.38,15.21,18.09,0.54
2018,4,20,7.66,7.17,24.98,17.66,0.52
2018,4,21,7.69,6.14,51.67,15.23,0.46
2018,4,22,7.24,5.77,72.37,14.16,0.44
2018,4,23,7.41,5.47,97.94,13.65,0.42
2018,4,24,7.29,4.98,76.06,12.48,0.37
2018,4,25,7.62,5.98,33.36,15.1,0.46
2018,4,26,7.77,6.51,35.12,15.98,0.48
2018,4,27,7.76,6.7,32.32,16.2,0.48
2018,4,28,7.63,6.62,25.68,16.16,0.48
2018,4,29,7.56,6.23,57.58,15.34,0.48
2018,4,30,7.23,4.57,88.8,10.97,0.34
2018,5,1,7.46,5.37,71.99,13.35,0.42
2018,5,2,7.32,4.43,94.51,11.34,0.35
2018,5,3,7.41,5.08,84.73,12.77,0.41
2018,5,4,7.64,5.77,73.62,14.81,0.48
2018,5,5,7.52,5.37,85.15,13.99,0.44
2018,5,6,7.83,4.9,86.17,13.54,0.43
2018,5,7,7.82,4.89,86.98,13.1,0.41
2018,5,8,7.74,2.41,99.13,7.36,0.23
2018,5,9,8.17,7.45,64.33,19.11,0.58
2018,5,10,8.1,6.41,67.69,16.36,0.48
2018,5,11,8.06,6.59,48.11,16.73,0.5
2018,5,12,7.87,6.19,59.26,15.8,0.48
2018,5,13,7.89,6.96,65.85,17.81,0.56
2018,5,14,7.93,6.69,51.88,16.84,0.53
2018,5,15,8.03,7.88,42.24,19.72,0.61
2018,5,16,8.01,6.83,49.8,17.41,0.54
2018,5,17,8.14,6.81,64.23,17.51,0.55
2018,5,18,8.12,7.14,51.52,18.26,0.58
2018,5,19,7.89,6.7,41.23,17.05,0.54
2018,5,20,8.0,6.95,51.08,17.66,0.55
2018,5,21,7.74,5.74,49.63,14.71,0.46
2018,5,22,7.85,6.61,44.23,16.92,0.53
2018,5,23,8.06,7.15,58.73,18.24,0.57
2018,5,24,8.13,7.51,24.88,18.74,0.58
2018,5,25,8.11,7.86,15.27,19.29,0.59
2018,5,26,8.49,8.38,3.3,20.65,0.63
2018,5,27,8.45,8.38,1.07,20.66,0.63
2018,5,28,8.33,8.26,5.77,20.28,0.62
2018,5,29,8.32,8.15,28.2,20.02,0.62
2018,5,30,8.21,8.12,23.41,19.67,0.59
2018,5,31,8.47,8.36,9.63,20.24,0.62
2018,6,1,8.22,8.01,8.75,19.59,0.6
2018,6,2,8.29,7.73,45.78,19.22,0.59
2018,6,3,8.16,6.98,43.46,18.03,0.55
2018,6,4,8.32,7.98,13.66,20.19,0.61
2018,6,5,8.14,7.57,23.73,19.31,0.59
2018,6,6,8.0,6.76,58.78,17.35,0.54
2018,6,7,7.76,6.62,72.23,16.3,0.5
2018,6,8,8.08,6.21,82.47,16.23,0.51
2018,6,9,7.66,5.15,82.66,13.42,0.42
2018,6,10,7.95,6.23,76.0,16.3,0.51
2018,6,11,7.74,4.42,82.89,11.8,0.38
2018,6,12,7.37,3.28,99.38,8.73,0.27
2018,6,13,7.54,3.55,99.18,9.95,0.31
2018,6,14,7.21,2.91,98.59,8.15,0.26
2018,6,15,7.8,3.96,96.7,11.14,0.34
2018,6,16,7.82,5.12,83.33,13.85,0.43
2018,6,17,7.7,4.15,85.4,11.26,0.34
2018,6,18,7.61,2.77,99.49,7.87,0.24
2018,6,19,7.71,4.52,97.12,12.27,0.38
2018,6,20,7.74,4.57,98.33,12.14,0.38
2018,6,21,7.95,5.18,95.88,14.02,0.44
2018,6,22,8.03,5.66,90.12,14.95,0.45
2018,6,23,7.98,5.03,95.4,13.73,0.44
2018,6,24,7.92,5.4,86.59,14.48,0.45
2018,6,25,7.76,4.35,94.95,11.76,0.35
2018,6,26,7.73,5.14,91.57,13.8,0.42
2018,6,27,7.83,5.81,81.47,15.0,0.45
2018,6,28,7.85,5.79,85.16,15.28,0.48
2018,6,29,7.77,5.8,64.98,14.94,0.45
2018,6,30,8.15,7.06,54.41,18.05,0.55
2018,7,1,7.98,6.87,74.91,17.41,0.53
2018,7,2,7.98,6.45,77.75,16.7,0.48
2018,7,3,7.65,4.65,94.45,12.15,0.36
2018,7,4,7.91,5.71,82.45,14.89,0.45
2018,7,5,8.04,7.26,51.93,18.48,0.55
2018,7,6,8.03,5.52,67.86,14.52,0.44
2018,7,7,8.02,6.37,81.32,16.74,0.51
2018,7,8,7.6,3.78,94.98,10.35,0.32
2018,7,9,7.9,6.23,79.56,16.02,0.48
2018,7,10,8.02,5.82,71.98,15.41,0.47
2018,7,11,7.58,4.63,86.39,12.06,0.36
2018,7,12,7.97,6.54,53.09,16.88,0.51
2018,7,13,8.09,6.5,61.12,16.85,0.52
2018,7,14,7.65,5.21,76.54,13.62,0.42
2018,7,15,7.8,6.07,83.27,15.47,0.48
2018,7,16,7.93,6.15,83.55,16.15,0.52
2018,7,17,7.88,4.96,82.19,13.34,0.42
2018,7,18,8.15,7.46,39.87,18.8,0.57
2018,7,19,8.24,7.28,49.17,18.42,0.57
2018,7,20,7.59,5.61,78.9,14.38,0.44
2018,7,21,7.97,7.52,39.04,18.74,0.56
2018,7,22,8.14,7.03,43.98,17.95,0.54
2018,7,23,8.12,7.18,59.95,18.13,0.55
2018,7,24,8.0,7.06,43.05,17.84,0.52
2018,7,25,7.86,7.18,49.6,17.81,0.52
2018,7,26,7.69,6.39,48.71,16.24,0.49
2018,7,27,7.77,5.89,62.16,15.18,0.47
2018,7,28,7.89,5.84,77.85,15.42,0.49
2018,7,29,7.93,7.01,52.41,17.86,0.55
2018,7,30,8.08,7.27,32.85,18.39,0.56
2018,7,31,7.97,6.2,58.87,16.36,0.5
2018,8,1,7.97,6.75,74.9,17.65,0.55
2018,8,2,7.77,5.62,87.5,14.98,0.47
2018,8,3,7.72,4.53,96.53,12.47,0.4
2018,8,4,7.67,2.99,98.9,8.95,0.28
2018,8,5,7.56,4.5,98.47,12.2,0.39
2018,8,6,7.34,4.54,90.44,11.99,0.37
2018,8,7,7.47,6.39,79.33,16.31,0.51
2018,8,8,7.81,6.34,70.17,16.6,0.52
2018,8,9,7.71,5.06,78.86,13.62,0.41
2018,8,10,7.82,5.21,79.17,14.12,0.43
2018,8,11,7.55,4.72,87.2,12.61,0.39
2018,8,12,7.32,3.35,97.7,9.27,0.3
2018,8,13,7.65,4.46,83.93,12.3,0.4
2018,8,14,7.73,5.78,67.02,15.12,0.45
2018,8,15,7.52,4.17,91.96,11.45,0.36
2018,8,16,7.81,6.54,60.76,16.91,0.52
2018,8,17,7.91,6.96,49.63,17.82,0.54
2018,8,18,7.77,6.13,77.51,15.85,0.5
2018,8,19,7.72,5.93,93.2,15.6,0.49
2018,8,20,7.51,5.59,85.72,14.15,0.43
2018,8,21,7.54,4.55,81.71,11.85,0.37
2018,8,22,7.52,5.27,92.49,13.91,0.45
2018,8,23,7.61,5.04,85.02,13.55,0.42
2018,8,24,7.8,6.17,59.63,16.14,0.5
2018,8,25,7.67,6.56,60.83,16.77,0.51
2018,8,26,7.75,5.37,83.84,14.25,0.43
2018,8,27,7.67,5.87,78.3,15.41,0.47
2018,8,28,7.25,3.35,98.53,9.2,0.29
2018,8,29,7.41,4.13,92.41,11.29,0.35
2018,8,30,7.37,5.2,98.41,13.52,0.43
2018,8,31,7.5,5.37,90.58,14.3,0.45
2018,9,1,7.41,5.66,89.7,14.81,0.45
2018,9,2,7.36,5.94,85.7,15.53,0.48
2018,9,3,7.47,6.02,63.92,15.66,0.48
2018,9,4,7.55,6.07,85.52,15.97,0.48
2018,9,5,7.24,4.92,93.28,13.08,0.4
2018,9,6,7.05,3.82,85.84,10.61,0.33
2018,9,7,7.25,4.99,79.14,13.32,0.41
2018,9,8,7.22,5.28,68.25,13.94,0.41
2018,9,9,7.39,5.85,59.45,14.99,0.45
2018,9,10,6.82,4.7,98.59,11.91,0.35
2018,9,11,6.88,4.13,96.92,10.68,0.32
2018,9,12,6.76,4.26,90.62,11.15,0.34
2018,9,13,6.7,3.67,89.98,9.72,0.3
2018,9,14,7.03,5.15,84.26,13.34,0.41
2018,9,15,6.87,4.74,91.68,12.38,0.38
2018,9,16,7.01,3.88,99.18,10.64,0.34
2018,9,17,6.91,4.25,91.37,11.32,0.35
2018,9,18,6.88,4.6,82.99,12.03,0.38
2018,9,19,7.08,5.49,73.48,14.12,0.43
2018,9,20,7.2,6.37,67.03,16.21,0.49
2018,9,21,7.17,6.08,73.47,15.59,0.48
2018,9,22,7.06,5.08,77.34,13.3,0.42
2018,9,23,7.03,5.78,67.29,14.81,0.45
2018,9,24,7.1,5.83,58.71,14.88,0.45
2018,9,25,6.87,5.42,77.63,14.02,0.42
2018,9,26,7.02,5.34,67.0,13.89,0.42
2018,9,27,6.92,5.26,74.7,13.63,0.41
2018,9,28,6.86,5.03,84.74,13.08,0.4
2018,9,29,6.64,4.72,82.56,12.09,0.37
2018,9,30,6.87,5.36,74.84,13.94,0.42
2018,10,1,6.89,4.97,80.97,12.87,0.38
2018,10,2,7.02,5.79,71.12,14.87,0.45
2018,10,3,6.96,4.49,84.34,12.05,0.37
2018,10,4,6.93,5.13,77.01,13.42,0.4
2018,10,5,6.89,6.26,65.7,15.78,0.47
2018,10,6,6.64,4.83,86.45,12.45,0.37
2018,10,7,6.47,4.25,75.75,10.91,0.32
2018,10,8,6.44,4.43,62.73,11.33,0.34
2018,10,9,6.44,5.34,67.77,13.3,0.39
2018,10,10,6.35,4.27,87.91,11.02,0.34
2018,10,11,6.17,4.09,90.37,10.54,0.31
2018,10,12,6.11,4.49,93.32,11.38,0.34
2018,10,13,6.36,4.13,67.9,10.71,0.32
2018,10,14,6.35,4.52,92.12,11.69,0.35
2018,10,15,6.29,4.79,92.63,12.16,0.36
2018,10,16,6.35,4.83,92.62,12.42,0.38
2018,10,17,6.43,3.86,88.0,10.38,0.32
2018,10,18,6.54,3.28,96.04,9.22,0.29
2018,10,19,6.23,3.69,86.08,9.82,0.3
2018,10,20,6.0,3.29,95.91,8.81,0.27
2018,10,21,6.13,2.57,97.49,7.31,0.23
2018,10,22,6.23,5.39,44.84,13.65,0.41
2018,10,23,6.22,5.5,42.79,13.46,0.4
2018,10,24,6.4,5.59,32.1,13.59,0.4
2018,10,25,6.09,5.37,39.25,12.98,0.38
2018,10,26,5.87,4.8,59.89,11.74,0.34
2018,10,27,5.63,3.33,88.75,8.66,0.27
2018,10,28,6.05,4.55,86.01,11.67,0.35
2018,10,29,6.07,4.15,94.77,10.87,0.33
2018,10,30,6.0,4.69,76.15,11.86,0.34
2018,10,31,5.78,4.54,64.13,11.28,0.32
2018,11,1,5.72,3.53,93.18,9.15,0.27
2018,11,2,5.47,2.57,98.32,7.02,0.21
2018,11,3,5.5,3.64,98.33,9.4,0.27
2018,11,4,5.73,1.79,99.72,5.38,0.16
2018,11,5,6.05,4.93,59.72,12.59,0.36
2018,11,6,6.04,5.81,30.98,14.08,0.4
2018,11,7,5.93,5.39,38.51,13.15,0.37
2018,11,8,6.0,5.74,10.91,13.64,0.37
2018,11,9,5.91,5.53,46.91,13.11,0.36
2018,11,10,5.81,4.85,72.3,12.24,0.35
2018,11,11,5.65,4.74,50.21,11.51,0.32
2018,11,12,5.53,4.54,60.56,11.05,0.31
2018,11,13,5.76,3.0,88.68,8.09,0.23
2018,11,14,5.46,1.61,81.22,4.65,0.12
2018,11,15,5.99,5.27,32.45,12.88,0.35
2018,11,16,5.92,5.76,9.04,13.71,0.37
2018,11,17,5.9,5.92,8.97,13.74,0.38
2018,11,18,5.83,4.42,44.67,10.66,0.3
2018,11,19,5.84,5.87,1.45,13.45,0.36
2018,11,20,5.73,5.73,6.2,13.21,0.35
2018,11,21,5.59,5.39,14.66,12.8,0.34
2018,11,22,5.53,5.21,15.7,12.4,0.34
2018,11,23,5.6,5.56,3.54,12.8,0.34
2018,11,24,5.5,5.09,36.8,11.96,0.31
2018,11,25,5.39,5.22,61.69,12.07,0.32
2018,11,26,5.19,3.68,70.8,8.97,0.24
2018,11,27,5.22,4.78,54.16,11.29,0.3
2018,11,28,5.05,2.88,97.94,7.68,0.22
2018,11,29,5.05,2.0,90.38,5.55,0.16
2018,11,30,5.43,3.2,62.71,8.52,0.23
2018,12,1,5.71,5.63,16.52,13.34,0.35
2018,12,2,5.57,5.56,12.49,13.05,0.34
2018,12,3,5.39,5.38,5.35,12.72,0.34
2018,12,4,5.38,4.85,38.45,11.8,0.32
2018,12,5,5.19,3.58,63.52,9.1,0.25
2018,12,6,5.26,4.67,54.59,11.22,0.3
2018,12,7,5.32,4.89,56.96,11.84,0.32
2018,12,8,5.27,5.14,17.79,12.18,0.34
2018,12,9,5.15,4.64,44.38,10.94,0.3
2018,12,10,5.22,4.13,82.77,10.23,0.28
2018,12,11,5.34,4.29,60.66,10.45,0.28
2018,12,12,5.21,3.72,70.46,9.23,0.25
2018,12,13,5.18,4.34,75.08,10.64,0.28
2018,12,14,5.41,4.95,59.61,11.8,0.3
2018,12,15,5.67,5.25,38.22,12.42,0.32
2018,12,16,5.54,5.39,44.56,12.7,0.31
2018,12,17,5.43,4.47,71.48,10.95,0.29
2018,12,18,5.16,5.02,37.62,11.76,0.3
2018,12,19,5.34,5.31,23.34,12.19,0.3
2018,12,20,5.74,5.77,1.69,12.93,0.31
2018,12,21,5.68,5.64,1.12,12.79,0.31
2018,12,22,5.63,5.67,6.36,12.8,0.32
2018,12,23,5.28,5.27,8.16,11.54,0.3
2018,12,24,5.47,5.46,13.97,12.7,0.34
2018,12,25,5.23,4.71,56.37,11.19,0.3
2018,12,26,5.17,3.81,76.98,9.54,0.26
2018,12,27,5.26,4.73,74.21,11.47,0.3
2018,12,28,5.28,4.28,58.71,10.59,0.29
2018,12,29,5.34,5.12,38.83,12.03,0.32
2018,12,30,5.16,4.6,37.8,10.75,0.29
2018,12,31,5.4,4.06,47.41,10.04,0.27
2019,1,1,5.49,5.22,43.44,12.1,0.32
2019,1,2,5.42,4.12,43.73,9.92,0.27
2019,1,3,5.23,4.46,74.69,10.56,0.29
2019,1,4,5.32,5.18,41.07,12.22,0.33
2019,1,5,5.3,4.98,36.58,11.89,0.34
2019,1,6,5.37,5.08,19.21,12.09,0.34
2019,1,7,5.43,5.23,35.51,12.05,0.34
2019,1,8,5.74,5.72,7.83,13.05,0.35
2019,1,9,5.6,5.56,13.55,12.77,0.34
2019,1,10,5.59,4.78,55.36,11.66,0.31
2019,1,11,5.28,4.61,34.19,10.9,0.29
2019,1,12,4.95,3.4,74.38,8.13,0.21
2019,1,13,5.2,3.55,79.66,8.98,0.25
2019,1,14,5.37,4.21,56.66,10.38,0.29
2019,1,15,5.53,4.43,63.38,10.97,0.3
2019,1,16,5.42,4.56,77.6,11.05,0.31
2019,1,17,5.41,3.95,92.59,9.92,0.28
2019,1,18,5.22,4.18,73.81,10.09,0.28
2019,1,19,5.31,4.46,62.43,10.59,0.3
2019,1,20,6.09,5.81,27.33,13.85,0.39
2019,1,21,6.15,6.17,1.83,14.39,0.39
2019,1,22,5.94,5.96,3.23,13.9,0.38
2019,1,23,5.91,5.87,6.31,13.9,0.38
2019,1,24,5.96,5.88,4.76,13.99,0.39
2019,1,25,5.86,5.75,18.8,13.56,0.37
2019,1,26,5.89,5.84,6.89,13.95,0.38
2019,1,27,6.02,5.99,7.91,13.92,0.37
2019,1,28,6.23,6.24,2.25,14.48,0.37
2019,1,29,5.81,5.84,3.09,13.27,0.34
2019,1,30,6.17,6.19,11.33,14.32,0.38
2019,1,31,6.07,5.87,12.16,13.81,0.37
2019,2,1,5.96,5.78,14.38,13.56,0.36
2019,2,2,6.01,6.02,8.66,13.91,0.38
2019,2,3,6.07,6.06,4.37,14.09,0.4
2019,2,4,6.12,6.07,5.82,14.0,0.4
2019,2,5,6.04,6.04,2.02,13.7,0.38
2019,2,6,6.19,6.14,3.77,14.01,0.38
2019,2,7,6.2,6.23,1.74,14.33,0.39
2019,2,8,6.21,4.86,53.34,11.95,0.34
2019,2,9,6.41,5.23,46.3,12.83,0.36
2019,2,10,6.36,6.24,10.82,14.67,0.41
2019,2,11,6.13,5.65,19.35,13.62,0.39
2019,2,12,6.07,5.21,42.37,12.32,0.35
2019,2,13,6.31,4.54,65.62,11.74,0.35
2019,2,14,6.34,5.56,25.0,13.9,0.41
2019,2,15,6.45,6.46,3.2,15.3,0.45
2019,2,16,6.67,6.63,2.51,15.84,0.47
2019,2,17,6.67,6.68,1.12,15.75,0.46
2019,2,18,6.57,6.58,2.01,15.47,0.46
2019,2,19,6.81,6.82,1.72,16.23,0.49
2019,2,20,6.78,6.77,2.12,16.3,0.5
2019,2,21,6.72,6.71,15.21,15.91,0.48
2019,2,22,6.61,5.67,68.09,14.09,0.45
2019,2,23,6.72,5.52,61.87,14.0,0.45
2019,2,24,6.42,4.7,54.32,11.76,0.37
2019,2,25,6.57,4.95,57.94,12.52,0.41
2019,2,26,6.74,5.66,23.0,13.92,0.44
2019,2,27,6.86,6.74,4.11,16.12,0.49
2019,2,28,6.9,6.72,8.36,16.2,0.48
2019,3,1,6.84,6.74,5.01,15.81,0.47
2019,3,2,6.85,6.54,13.54,15.59,0.47
2019,3,3,7.09,6.79,21.12,16.41,0.5
2019,3,4,6.61,5.17,41.86,12.48,0.39
2019,3,5,6.9,6.01,41.39,14.8,0.47
2019,3,6,7.01,6.45,30.49,16.05,0.49
2019,3,7,6.91,6.26,32.96,15.28,0.48
2019,3,8,6.88,6.02,30.23,14.69,0.46
2019,3,9,6.86,5.83,30.73,14.06,0.45
2019,3,10,6.83,6.33,28.17,15.18,0.47
2019,3,11,7.06,6.95,7.16,16.25,0.51
2019,3,12,7.28,7.22,5.8,16.71,0.54
2019,3,13,7.47,7.43,2.13,17.75,0.59
2019,3,14,7.44,7.12,13.23,17.19,0.57
2019,3,15,6.84,5.58,35.22,13.29,0.42
2019,3,16,7.02,4.94,75.23,12.2,0.4
2019,3,17,6.98,4.96,79.65,12.45,0.41
2019,3,18,7.23,6.58,30.94,16.27,0.52
2019,3,19,7.54,7.31,9.39,17.8,0.55
2019,3,20,7.5,7.06,26.53,17.26,0.54
2019,3,21,7.3,5.88,41.96,14.66,0.45
2019,3,22,7.34,6.43,25.28,15.62,0.48
2019,3,23,7.49,6.91,18.97,16.62,0.5
2019,3,24,7.51,7.18,10.61,17.43,0.52
2019,3,25,7.58,7.5,2.04,17.78,0.55
2019,3,26,7.95,7.88,4.34,18.37,0.56
2019,3,27,8.04,7.92,10.74,19.03,0.59
2019,3,28,7.99,7.89,5.45,18.91,0.57
2019,3,29,7.8,7.72,6.24,18.66,0.55
2019,3,30,7.5,6.9,24.29,16.55,0.49
2019,3,31,7.34,6.48,22.96,15.49,0.46
2019,4,1,7.83,7.19,16.16,17.45,0.52
2019,4,2,7.74,6.72,24.88,16.34,0.49
2019,4,3,7.11,6.39,26.43,14.51,0.44
2019,4,4,7.65,6.25,48.13,15.19,0.46
2019,4,5,7.14,5.51,77.28,13.3,0.41
2019,4,6,7.32,5.93,60.89,14.22,0.45
2019,4,7,7.56,7.09,39.45,16.68,0.53
2019,4,8,7.35,5.79,50.5,13.95,0.45
2019,4,9,8.07,6.69,38.02,16.97,0.54
2019,4,10,8.12,7.95,6.8,19.62,0.59
2019,4,11,8.19,8.08,4.11,19.66,0.63
2019,4,12,8.2,7.96,22.63,19.07,0.62
2019,4,13,8.29,8.07,32.38,19.75,0.65
2019,4,14,7.9,7.82,5.86,18.13,0.56
2019,4,15,8.04,7.79,9.74,18.79,0.59
2019,4,16,7.74,7.32,15.95,17.48,0.55
2019,4,17,7.59,7.03,16.0,16.77,0.53
2019,4,18,8.18,7.96,7.98,19.66,0.64
2019,4,19,8.19,6.49,47.86,16.64,0.55
2019,4,20,8.28,7.63,17.86,19.47,0.62
2019,4,21,8.03,7.39,27.05,18.58,0.59
2019,4,22,7.56,6.42,45.39,15.82,0.52
2019,4,23,7.65,6.87,34.74,16.72,0.53
2019,4,24,7.89,6.69,71.65,15.98,0.52
